prompt,quality_score,quality_label,clarity,specificity,context,goal_definition,constraints,output_format,role_persona,audience,ambiguity,completeness,actionability,consistency
Write a Python script that reads an environment variable with a fallback default and logs a warning if the default was used.,71,GOOD,80,75,15,75,15,25,0,0,12,72,74,80
"Write a Python script for task #1: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #2: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #3: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #4: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #5: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #6: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #7: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #8: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #9: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #10: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #11: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #12: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #13: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #14: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #15: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #16: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #17: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #18: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #19: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #20: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #21: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #22: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #23: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #24: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
"Write a Python script for task #25: clean data, remove nulls, compute group statistics, and output a CSV summary.",66,GOOD,75,70,15,72,15,20,0,0,18,68,70,75
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #1 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #2 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #3 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #4 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #5 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #6 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #7 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #8 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #9 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #10 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #11 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #12 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #13 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #14 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #15 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #16 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #17 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #18 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #19 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
Explain key architectural design trade-offs between monolithic and microservice approaches for scenario #20 in 300 words.,67,GOOD,76,70,15,72,20,20,0,15,18,68,70,76
"You are a senior DevOps engineer. Write a production-ready GitHub Actions workflow file that builds a Python package, runs pytest with code coverage, and publishes to PyPI only when a new release tag is pushed. Use environment secrets for credentials and cache pip dependencies.",82,STRONG,88,85,25,85,25,30,20,0,5,82,84,88
"Act as a clinical data scientist. Compare logistic regression, random forest, and gradient boosting on a medical dataset of 10,000 patients for disease risk prediction. Address class imbalance, interpretability requirements, calibration, and sensitivity versus specificity trade-offs. Conclude with a justified model choice.",85,STRONG,90,88,30,88,25,25,25,20,5,85,86,90
"You are a lead database architect. Design a high-availability PostgreSQL schema for a multi-tenant SaaS application supporting 50,000 organizations. Detail tenant isolation strategies (schema-per-tenant vs. row-level security), foreign key enforcement, indexing for audit trails, and backup procedures. Present your recommendation with pros and cons.",86,STRONG,90,88,30,88,25,30,25,15,5,86,88,90
"Act as a seasoned software engineer. Write an idiomatic, thread-safe LRU cache class in Python using a doubly linked list and a hash map. Support get(key), put(key, value), and a capacity limit. Include type hints, comprehensive docstrings, and a unit test demonstrating eviction behavior under concurrency.",88,STRONG,92,90,25,90,30,30,20,0,3,88,90,92
"You are a technical writer at Stripe. Draft an API integration tutorial for processing webhook signatures in Python FastAPI. Requirements: explain why signature verification is needed, show complete code using hmac and hashlib, handle timing attacks with secrets.compare_digest, and document 3 common error cases with solutions.",87,STRONG,90,88,30,88,25,30,25,20,4,86,88,90
"Act as a chief marketing officer. Create a 90-day go-to-market plan for an enterprise AI code review tool targeting engineering organizations with 100+ developers. Detail positioning, ICP personas, 3 distribution channels with budgets, KPI milestones for each 30-day block, and competitive counter-messaging against GitHub Copilot.",84,STRONG,88,85,30,85,25,25,25,25,5,84,85,88
"You are an expert NLP researcher. Write a detailed comparative evaluation between dense embedding retrieval and BM25 sparse lexical search in retrieval-augmented generation (RAG) pipelines. Analyze failure modes for domain-specific terminology, out-of-vocabulary queries, hybrid reciprocal rank fusion, and computational cost.",86,STRONG,90,88,30,88,25,25,20,15,4,86,88,90
"Act as a senior cybersecurity analyst. Perform a threat model analysis on an OAuth 2.0 Authorization Code Grant flow with PKCE implemented for a mobile banking application. Identify 4 distinct attack vectors (e.g. authorization code interception, redirect URI manipulation), their likelihood and impact, and exact technical remediations.",87,STRONG,92,88,30,88,28,30,25,15,4,86,88,92
"You are a principal frontend engineer. Design the state management architecture for a collaborative real-time whiteboard app in React and TypeScript. Compare Zustand, Redux Toolkit, and Yjs for multiplayer conflict resolution. Detail offline syncing, undo/redo history, and render performance optimizations for 5,000 canvas elements.",85,STRONG,90,88,30,88,25,25,25,15,5,85,86,90
"Act as a product manager at an e-commerce platform. Write a complete Product Requirement Document (PRD) for a 1-click checkout feature. Include problem statement, target metrics (conversion lift target of 8%), 4 detailed user stories with acceptance criteria, fraud risk constraints, edge cases, and a phased rollout schedule.",86,STRONG,90,88,30,88,25,30,25,20,4,86,88,90
"You are an experienced Rust developer. Implement an asynchronous HTTP client wrapper using reqwest and tokio that automatically retries 5xx server errors with exponential backoff and jitter. Include custom error types, maximum retry caps, and a mock test.",85,STRONG,90,88,25,88,28,30,20,0,4,85,88,90
"Act as a senior quantitative analyst. Formulate a pairs trading strategy between two cointegrated energy stocks. Detail the Augmented Dickey-Fuller test procedure, hedge ratio calculation via Kalman filter, z-score entry/exit thresholds, and stop-loss rules. Provide Python code using statsmodels.",88,STRONG,92,90,30,90,28,30,25,10,3,88,90,92
"You are an executive speechwriter. Write an 800-word keynote speech for a healthcare CEO announcing a major commitment to carbon neutrality across 20 hospitals by 2030. Tone: inspiring yet grounded in operational reality. Include rhetorical devices, pauses marked in brackets, and a clear call to action.",83,STRONG,88,85,30,85,25,25,25,25,5,84,85,88
"Act as an AWS solutions architect. Design a disaster recovery architecture with RPO < 5 minutes and RTO < 15 minutes for a tier-1 banking API hosted in us-east-1 with failover to us-west-2. Detail Route 53 DNS routing, Aurora global database replication, and automated failover runbook steps.",87,STRONG,92,90,30,90,28,30,25,15,3,86,88,92
"You are a machine learning systems engineer. Write a comprehensive guide to deploying PyTorch models using TensorRT and Triton Inference Server. Cover FP16 quantization, dynamic batching configuration, GPU memory allocation, and benchmarking throughput (requests/sec) vs. p99 latency.",86,STRONG,90,88,30,88,25,30,25,15,4,86,88,90
"Act as a legal counsel specializing in intellectual property. Draft a mutual non-disclosure agreement (NDA) for two technology startups exploring an acquisition. Include standard clauses for definition of confidential information, carve-outs, term duration (2 years), non-solicitation, and governing law.",85,STRONG,90,88,30,88,28,30,25,20,4,85,86,90
"You are an expert image prompt engineer. Write 3 detailed prompts for generating high-fashion editorial portraits inspired by Renaissance chiaroscuro lighting. Specify camera focal length, studio lighting setup, costume textures, color grading, and negative prompts to avoid digital artifacts.",84,STRONG,88,85,30,85,25,30,25,0,5,84,85,88
"Act as a staff systems architect. Write an Architecture Decision Record (ADR) on adopting Kafka versus RabbitMQ for asynchronous event notifications across 25 microservices. Include context, decision drivers, evaluated trade-offs (ordering guarantees, replayability, operational complexity), and migration steps.",86,STRONG,90,88,30,88,25,30,25,15,4,86,88,90
"You are a lead data engineer. Create a PySpark ETL script that ingests 50GB of daily clickstream logs from S3, partitions by date and country, deduplicates on user_id and session_id, filters bot traffic, and writes to an optimized Delta Lake table with Z-ordering on user_id.",88,STRONG,92,90,30,90,28,30,25,0,3,88,90,92
"Act as an Agile transformation coach. Create an incident postmortem template and facilitator guide for software engineering teams. Include blameless culture guidelines, timeline reconstruction methods, 5-whys root cause analysis, action item assignment rules, and executive reporting formats.",84,STRONG,88,85,30,85,25,30,25,20,5,84,85,88
"You are a principal engineer in domain #1. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #2. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #3. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #4. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #5. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #6. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",86,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #7. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",87,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #8. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",88,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #9. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #10. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #11. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #12. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #13. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #14. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",86,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #15. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",87,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #16. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",88,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #17. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #18. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #19. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #20. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #21. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #22. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",86,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #23. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",87,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #24. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",88,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #25. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #26. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #27. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #28. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #29. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #30. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",86,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #31. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",87,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #32. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",88,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #33. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #34. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #35. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #36. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #37. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #38. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",86,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #39. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",87,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #40. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",88,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #41. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",81,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #42. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",82,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #43. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",83,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #44. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",84,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are a principal engineer in domain #45. Provide a detailed architectural design and implementation strategy in Python. Include data models, error handling, performance benchmarks, security constraints, and complete unit tests.",85,STRONG,88,85,25,85,25,28,20,15,5,84,85,88
"You are an experienced technical lead. Design a modular plugin architecture for a CLI tool in Python using importlib.metadata. Provide example plugin interfaces, discovery mechanism, error isolation, and unit tests.",83,STRONG,88,85,25,85,20,30,20,0,5,82,84,88
"Act as a data governance specialist. Draft an audit policy for machine learning training datasets under EU AI Act requirements. Cover provenance tracking, bias mitigation protocols, human oversight mechanisms, and documentation standards.",84,STRONG,88,85,30,85,25,25,25,15,5,84,85,88
"You are a senior site reliability engineer. Write an incident response runbook for handling a sudden 500 Internal Server Error spike on an API gateway. Include diagnostic commands, traffic shedding options, rollbacks, and stakeholder comms templates.",85,STRONG,90,88,30,88,25,30,25,15,4,85,86,90
"Act as an accessibility engineer. Review this HTML form component and rewrite it to meet WCAG 2.1 AA standards. Ensure proper ARIA labels, focus states, keyboard navigation, color contrast requirements, and live region announcements.",86,STRONG,90,88,25,88,28,30,25,0,4,86,88,90
You are an NLP engineer. Implement a text chunking algorithm that splits long markdown documents along header hierarchies while respecting token limits and preserving code block integrity. Include unit tests in pytest.,85,STRONG,90,88,25,88,25,30,20,0,4,85,86,90
"Act as an enterprise cloud architect. Compare Snowflake and BigQuery for a 50TB analytical warehouse. Analyze query pricing models, data sharing mechanisms, partition pruning, role-based access control, and maintenance overhead.",86,STRONG,90,88,30,88,25,25,25,15,4,86,88,90
"You are a security researcher. Write a detailed analysis of memory corruption vulnerabilities in C/C++ (buffer overflow, use-after-free, double-free) and explain how Rust memory safety guarantees prevent them at compile time.",87,STRONG,92,88,25,88,25,25,20,0,4,86,88,92
"Act as a mobile engineering director. Design an offline-first synchronization protocol for an iOS and Android field service app using SQLite and delta sync. Address schema migrations, conflict resolution, and battery optimization.",85,STRONG,90,88,30,88,25,30,25,15,5,85,86,90
"You are a fintech product strategist. Draft a functional specification for integrating Open Banking APIs (PSD2) to fetch real-time bank transactions. Cover consent management, SCA requirements, token refresh flows, and error states.",84,STRONG,88,85,30,85,25,30,25,20,5,84,85,88
"Act as an ML engineer. Write a Python script using Optuna to tune hyperparameters (learning rate, depth, regularization) of a LightGBM model with 5-fold cross-validation and early stopping. Log trial history to a pandas dataframe.",86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"You are a database administrator. Write a comprehensive query optimization guide for slow queries in MySQL 8.0. Detail EXPLAIN ANALYZE interpretation, index selection, buffer pool tuning, and common anti-patterns like leading wildcards.",85,STRONG,90,88,25,88,25,30,20,0,4,85,86,90
"Act as a senior technical recruiter. Write a comprehensive hiring guide for software engineering managers, including scorecard calibration, competency-based behavioral interview questions, bias mitigation, and debrief norms.",83,STRONG,88,85,25,85,25,25,25,20,5,84,85,88
"You are an audio software developer. Design a digital signal processing pipeline for real-time background noise suppression using spectral subtraction in Python. Include windowing with Hann window, STFT, noise estimation, and inverse STFT.",86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"Act as a venture capital analyst. Create an investment memo template for a Series Seed developer tool startup. Structure: thesis, team evaluation, product differentiation, TAM calculation, unit economics, risk analysis, and terms.",84,STRONG,88,85,30,85,25,25,25,20,5,84,85,88
"You are a frontend performance specialist. Write a guide on optimizing Largest Contentful Paint (LCP) and Cumulative Layout Shift (CLS) in a Next.js application, with concrete code examples for image optimization and font loading.",85,STRONG,90,88,25,88,25,30,20,15,4,85,86,90
"Act as an environmental scientist. Outline a life cycle assessment (LCA) methodology for measuring the greenhouse gas footprint of cloud datacenter operations, categorizing Scope 1, 2, and 3 emissions according to the GHG Protocol.",84,STRONG,88,85,30,85,25,25,25,15,5,84,85,88
You are an embedded systems programmer. Write a bare-metal C routine to configure a hardware timer interrupt on an ARM Cortex-M4 microcontroller and toggle a GPIO pin at 1 kHz. Include register definitions and ISR handler.,86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"Act as a biomedical engineer. Describe the design constraints for a closed-loop artificial pancreas system, detailing continuous glucose sensor lag, insulin pharmacokinetics, predictive safety suspend algorithms, and telemetry.",85,STRONG,90,88,30,88,25,25,25,10,4,85,86,90
"You are an industrial designer. Write a product design specification for a ruggedized outdoor handheld GPS device, detailing IP68 ingress protection, thermal operating range (-20C to 60C), drop survivability, and screen readability.",84,STRONG,88,85,30,85,25,30,25,15,5,84,85,88
"Act as a microservices architect. Write a technical design document for implementing distributed tracing across 15 Go microservices using OpenTelemetry and Jaeger. Address trace propagation via W3C headers, sampling strategies, and overhead.",86,STRONG,90,88,30,88,25,30,25,15,4,86,88,90
You are an Android platform engineer. Write a Kotlin coroutine flow pattern for offline caching of network requests with Room database fallback and StateFlow UI state emission. Include error handling and unit tests with runTest.,85,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"Act as an iOS architect. Design a modular VIPER architecture for an e-commerce checkout module in Swift. Include protocol declarations for View, Interactor, Presenter, Entity, and Router with clean dependency injection.",86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
You are a Linux kernel performance specialist. Explain how eBPF programs attach to kprobes and tracepoints to profile block I/O latency without modifying kernel source code. Include a bpftrace one-liner example.,85,STRONG,90,88,25,88,25,25,20,0,4,85,86,90
"Act as a data pipeline architect. Detail the design of an idempotent lakehouse ingestion pipeline using Apache Iceberg and AWS Glue. Cover schema evolution handling, hidden partitioning, and ACID merge-on-read trade-offs.",87,STRONG,92,88,30,88,25,30,25,10,4,86,88,92
You are a quantum algorithm developer. Formulate the Deutsch-Jozsa algorithm in Qiskit to determine if a hidden boolean function is constant or balanced in a single query. Include circuit diagram representation and simulation code.,86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"Act as an enterprise network engineer. Write an implementation plan for deploying 802.1X network access control with RADIUS authentication and dynamic VLAN assignment for a corporate campus with 2,000 wired endpoints.",85,STRONG,90,88,30,88,25,30,25,15,4,85,86,90
You are a graph database specialist. Design a Cypher query in Neo4j to detect circular financial transactions among suspicious bank accounts within 4 degrees of separation. Include data modeling and query index hints.,86,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"Act as a telemetry engineer. Specify an OpenTelemetry semantic convention schema for HTTP client metrics, custom business spans, and structured logs for an order-processing microservice. Output in YAML format.",85,STRONG,90,88,25,88,25,30,20,0,4,85,86,90
"You are a real-time communications engineer. Implement a WebRTC signaling server in Python using aiohttp and WebSockets, handling SDP offer/answer exchange and ICE candidate trickle between two peers. Include ping/pong heartbeats.",87,STRONG,92,88,25,88,28,30,20,0,3,86,88,92
Act as an edge computing specialist. Design a lightweight computer vision inference pipeline using ONNX Runtime and OpenCV in Python for an edge device with an Intel Neural Compute Stick 2. Cover frame preprocessing and batching.,85,STRONG,90,88,25,88,25,30,20,0,4,86,88,90
"You are a compiler optimization specialist. Explain loop unrolling and auto-vectorization optimizations in LLVM, showing how Clang emits AVX2 SIMD instructions for an array summation benchmark. Include C code and assembly snippet.",86,STRONG,90,88,25,88,25,25,20,0,4,86,88,90
